#KEY	SRR11728040_2	SRR11728041_2	SRR11728042_2	SRR11728043_2
5530	4649	3987	818	1034
55300	5662	4285	3566	4524
55301	0	3	23	45
55303	0	0	0	0
55304	2	1	2	0
55308	1376	1149	1298	1800
5531	17946	12881	13710	20382
553103	12	10	6	6
55311	1175	916	911	1332
553115	3889	2744	2756	3802
55312	1029	669	723	884
55313	4842	3494	1702	2201
553137	0	0	0	0
55314	89	71	64	62
55315	652	559	223	293
553158	0	0	0	0
55316	558	451	630	766
55317	389	317	302	341
55319	959	798	786	1048
5532	2308	1730	1862	2354
55320	2877	2419	1151	1462
55321	18	12	14	23
55322	979	808	667	936
55323	0	4	6	2
55324	1491	1336	1971	2675
55325	708	574	352	502
55326	990	704	622	1021
55327	1139	859	1390	1733
55328	271	167	112	122
55329	247	234	84	139
5533	746	569	1588	1968
55330	1011	668	1226	1560
55331	3557	2645	3765	4716
55332	3274	2240	6444	8247
55333	0	8	5	10
55334	2340	1869	2041	2781
55335	97	74	56	62
55336	74	50	61	125
55337	878	864	709	938
55339	3506	3018	3921	4791
5534	11061	8237	7911	11352
55340	2639	1569	1392	1891
55341	2155	1700	1780	2516
55342	560	474	336	510
55343	712	565	445	599
55344	80	65	16	39
55345	530	620	431	571
55346	353	202	251	376
55347	575	487	320	374
55349	2	4	17	26
5535	0	0	0	0
55350	0	2	4	6
55351	6	0	4	6
55352	1832	1229	682	939
55353	0	2	0	0
55355	1503	1622	204	358
55356	1630	1765	2690	2786
55357	1390	1291	749	867
55359	4	3	10	6
5536	3600	2616	1388	1973
55361	4256	3483	1967	2795
55362	2620	2158	2453	3261
55363	0	0	0	0
55364	362	331	179	236
55365	4	0	0	0
55366	8	2	15	7
55367	521	454	304	491
5537	2859	2469	2929	3904
55370	318	378	423	524
55374	623	458	274	347
55379	10243	7451	9169	12183
5538	11276	8142	5495	7414
55384	0	0	0	0
55388	376	339	115	127
55389	406	432	623	698
5539	0	0	0	6
554	278	311	193	252
5540	0	0	0	0
554045	0	0	0	0
55410	0	0	0	0
5542	0	4	0	0
554202	4	6	4	10
554203	384	287	403	513
554206	2	2	6	8
55421	2383	2213	1709	2192
554210	0	0	1	0
554212	0	0	0	0
554213	0	0	0	0
554214	0	0	0	0
55422	46	48	51	72
554226	0	0	0	0
55423	2	0	0	0
554235	34	41	56	47
554236	0	0	4	0
554249	0	0	0	0
55425	1575	1115	1115	1541
554250	0	0	0	0
554251	276	250	143	215
554313	0	0	0	0
55432	1377	1283	2297	2989
55435	1361	1069	1164	1656
55437	357	267	130	197
5544	4	2	10	23
55449	158	159	83	98
5545	0	2	7	8
55450	699	617	403	502
55454	15812	13848	18611	22609
5546	3560	2618	2301	2987
55466	380	455	271	504
5547	1745	1333	639	936
55471	993	776	1002	1387
55472	206	240	286	256
55486	2036	1586	1174	1542
5549	0	0	4	0
5550	1391	901	610	894
55500	3016	2415	2228	2814
55501	757	523	297	367
55502	1340	883	143	243
55503	27	44	37	38
55504	2	8	8	6
55505	6481	4587	5958	8611
55506	0	0	0	4
55507	2	0	0	0
55508	445	325	323	412
55509	513	404	426	716
5551	2	2	0	0
55510	1	4	9	10
55511	0	0	0	0
55512	43	53	24	26
55515	7	14	26	36
5552	46321	32412	28621	39092
55520	78	48	59	103
55521	455	321	782	998
55526	2884	2664	964	1289
55527	2559	1820	2287	3039
55529	743	528	776	946
5553	427	433	380	603
55530	0	0	0	6
55531	0	0	0	0
55532	0	0	0	0
55534	803	681	455	514
55536	982	924	141	197
55539	2	0	0	0
5554	30	33	44	83
55540	116	72	74	105
55544	8161	6192	1333	2508
55545	0	0	0	0
5555	3	19	17	26
55552	0	0	0	0
55553	8	6	2	2
55554	0	0	0	0
55556	1186	1279	1585	1793
55558	3410	3360	1799	2085
55559	642	514	210	364
55561	10	8	15	11
55565	144	121	80	113
55567	4	2	17	37
55568	1036	826	718	878
5557	762	498	110	177
55571	2831	2159	2779	3956
55572	916	743	657	768
55573	12558	10314	12998	16799
55576	8	25	0	4
55577	2471	1870	2202	2654
55578	1630	1197	920	1299
5558	624	441	233	378
55582	149	133	159	125
55584	3	0	6	8
55585	4406	3411	3814	5023
55586	19	9	14	10
55588	2158	1681	1403	1769
55589	996	831	1017	1082
55591	1435	1327	993	1205
55592	82	123	28	44
55593	7461	5980	5138	7422
55596	1188	1048	1022	1223
55599	356	438	456	475
55600	0	7	2	10
55601	576	622	807	889
55602	2213	1617	770	1085
55603	280	172	435	536
55604	175	192	82	86
55605	165	102	105	134
55607	0	0	0	0
55608	11353	8855	5038	7203
55609	287	239	209	238
55610	931	750	528	701
55611	4741	3375	2912	4501
55612	134	89	40	46
55613	0	0	0	0
55614	378	357	95	165
55615	310	301	211	313
55616	27	37	2	18
55617	237	239	171	217
55619	4992	4909	5801	6220
5562	2380	2156	1167	1397
55620	2	6	0	2
55621	3541	2516	2084	3203
55622	1038	863	508	679
55623	1143	924	855	1277
55624	1741	1222	1327	1783
55625	2920	2378	1739	2529
55626	830	639	607	873
55627	4944	4021	2597	3573
55628	825	807	1062	1429
55629	153	101	173	183
5563	0	0	0	0
55630	810	574	222	234
55631	2189	1676	1127	1333
55632	1082	958	349	471
55633	670	593	1056	1450
55634	311	206	161	161
55635	771	530	46	88
55636	57	68	37	40
55638	0	2	0	0
5564	605	537	651	875
55640	1544	1289	1448	1935
55643	4072	2779	596	1073
55644	1238	1003	645	889
55646	2483	1981	1023	1490
55647	6658	4949	2631	3619
5565	540	542	1005	1218
55650	235	199	595	688
55651	2598	1820	815	1078
55652	264	207	124	189
55653	2	2	0	0
55654	5071	4270	4678	6250
55655	583	476	1333	1923
55656	3572	2511	1886	2538
55657	928	799	797	1175
55658	3276	2224	1652	2617
55659	22	12	28	0
5566	4056	3146	1832	2642
55660	11749	9448	8104	10242
55661	4798	3688	3496	4616
55662	3341	3253	4845	5834
55663	225	147	115	191
55664	365	385	664	767
55665	950	678	470	708
55666	6509	5095	5840	8172
55667	1744	1947	755	814
55668	1752	2113	2691	2825
55669	1773	1388	1583	1895
5567	287	222	66	87
55670	703	673	709	874
55671	3952	3802	3050	4038
55672	440	412	349	325
55676	1235	1031	1102	1528
55677	1914	1796	1584	2086
55679	2	0	0	4
5568	0	0	0	0
55680	292	296	256	381
55681	2323	2167	2706	3269
55683	2721	2267	2382	3456
55684	3071	2213	823	1327
55686	1978	1364	1352	1960
55687	276	232	328	350
55689	2233	1957	1396	1892
5569	0	0	0	0
55690	2	2	4	0
55691	93	173	244	287
55692	1171	960	1201	1669
55693	0	4	0	0
55695	8906	6316	3274	4735
55696	5262	4199	4671	6556
55697	6687	5403	5320	7056
55698	89	77	34	63
55699	7767	6150	2905	3894
5570	18	8	8	3
55700	13805	9879	8087	12234
55701	2591	2213	593	823
55702	1122	845	691	1054
55703	256	198	290	321
55704	10857	11576	6270	7155
55705	4503	4306	2891	3964
55706	2560	1856	650	921
55707	4201	3033	3878	5579
55709	131	104	141	152
5571	2925	2069	1821	2648
55711	1084	915	437	613
55713	14	21	11	20
55714	1	6	28	25
55715	348	275	113	162
55716	992	777	620	993
55717	1662	1540	1544	1890
55718	1050	822	534	644
55719	1364	1244	791	1070
55720	1937	1600	1616	1925
55721	80	77	129	87
55722	777	623	176	259
55723	2742	1796	716	1108
55726	1708	1237	716	973
55727	1251	1137	1112	1220
55728	1590	1653	3787	4265
55729	637	627	576	580
5573	18061	15281	12590	16325
