#KEY	SRR5045034_2	SRR5045035_2	SRR5045036_2	SRR5045037_2	SRR5045038_2	SRR5045039_2
Geneid	SRR5045034	SRR5045035	SRR5045036	SRR5045037	SRR5045038	SRR5045039
gene:SMU_125	34387	18767	20751	22048	28545	33333
gene:SMU_1250c	1500	2572	1220	855	1300	699
gene:SMU_1251	843	978	842	553	449	531
gene:SMU_1252	4144	3051	3257	4447	2482	2461
gene:SMU_1253c	1186	950	870	1054	878	1228
gene:SMU_1254	2912	2953	2566	2351	1769	1907
gene:SMU_1255c	1477	1093	1502	1427	1496	3298
gene:SMU_1256c	1519	1125	1066	1286	1507	2291
gene:SMU_1257c	2581	2268	1987	2453	1874	2578
gene:SMU_1258c	516	713	383	262	225	213
gene:SMU_1259	312	481	256	206	158	153
gene:SMU_1260c	1563	1582	1232	1281	1697	2577
gene:SMU_1261c	1795	1784	1314	1763	1966	2418
gene:SMU_1262c	1726	1792	1302	1055	1082	1635
gene:SMU_1263	1956	1986	1589	1969	1065	1192
gene:SMU_1264	4296	3999	3517	4950	2493	2522
gene:SMU_1265	4288	4103	3720	4350	2441	2524
gene:SMU_1266	3367	3404	3196	3571	2266	2422
gene:SMU_1267c	1397	1494	1385	1517	844	855
gene:SMU_1268	3168	3154	3122	3226	2105	2185
gene:SMU_1269	3156	3317	3240	3021	1645	1542
gene:SMU_127	60338	25341	43101	40308	24525	14286
gene:SMU_1270	5246	5334	5906	4444	2432	2591
gene:SMU_1271	2278	2386	2626	1848	1247	1254
gene:SMU_1272	4054	4337	4955	2818	2215	2761
gene:SMU_1273	4139	4390	4775	2762	2260	2718
gene:SMU_1276c	57691	73190	46202	37303	32399	43610
gene:SMU_1277	35108	34078	27858	25966	19237	21801
gene:SMU_1278c	9363	10109	7758	7460	9971	14188
gene:SMU_1279c	8129	14351	8656	4905	3239	2339
gene:SMU_128	66970	32230	39621	35545	19112	12971
gene:SMU_1280c	216	276	216	211	100	119
gene:SMU_1282	1292	1805	975	668	595	677
gene:SMU_1284c	576	1064	497	277	99	98
gene:SMU_1286c	1037	1598	908	447	231	151
gene:SMU_1287	4980	3765	3875	2746	6644	7149
gene:SMU_1288	72616	116691	77522	47512	31719	21882
gene:SMU_1289c	11819	9204	9706	11673	9532	11116
gene:SMU_129	110709	64493	60408	46457	27258	21889
gene:SMU_1290c	6792	5568	6230	7563	6886	8888
gene:SMU_1291c	1687	1648	1715	2568	2717	3773
gene:SMU_1292c	13900	14728	9188	8002	7345	11692
gene:SMU_1293c	33166	26380	23271	32471	32041	48415
gene:SMU_1294	2810	3399	2453	3593	2047	1476
gene:SMU_1295	3630	4292	3485	3202	2450	1305
gene:SMU_1296	2343	4058	4032	920	1167	574
gene:SMU_1297	11279	12557	13388	6607	5144	3145
gene:SMU_1298	111471	183241	100634	54248	92586	51175
gene:SMU_1299c	3054	2369	2765	4017	4563	5897
gene:SMU_13	5824	8688	4058	2180	3187	4686
gene:SMU_130	148738	107637	73296	57383	33233	28091
gene:SMU_1300c	2203	1953	2005	3101	2623	3162
gene:SMU_1301c	3452	3991	2710	2809	1903	2225
gene:SMU_1302	5759	7355	4875	5552	5032	8647
gene:SMU_1303c	13559	19535	14307	9776	6884	8784
gene:SMU_1304c	7162	8907	8092	5858	4029	5185
gene:SMU_1305c	6576	7962	7486	6849	4167	4695
gene:SMU_1306c	4449	5786	5420	4495	2489	3257
gene:SMU_1307c	3677	4608	4261	3037	2522	4852
gene:SMU_1308	1549	1921	1774	1798	1446	2060
gene:SMU_1309c	4196	5271	4846	4482	2237	2868
gene:SMU_131	71302	61051	33362	24638	14548	12814
gene:SMU_1310	132	263	142	129	110	126
gene:SMU_1311	14095	21780	13609	10574	8120	10516
gene:SMU_1312	9714	14929	9570	6566	5450	5840
