#KEY	SRR10084977_2	SRR10084978_2	SRR10084979_2	SRR10084980_2	SRR10084981_2	SRR10084982_2	SRR10084983_2	SRR10084984_2	SRR10084985_2	SRR10084986_2	SRR10084987_2	SRR10084988_2	SRR10084989_2	SRR10084990_2	SRR10084991_2	SRR10084992_2	SRR10084993_2	SRR10084994_2
79667	20	54	154	36	34	165	36	23	64	18	19	106	45	29	110	34	54	97
79668	966	1221	855	1466	1616	987	1484	2026	1115	984	1387	1498	1720	2138	889	1774	1911	695
79669	541	242	197	462	220	285	518	422	621	425	290	192	373	267	132	350	246	133
79670	1076	1176	1677	1770	1720	1732	1819	1864	1823	1124	1216	2251	1849	2818	1793	2501	1635	1515
79671	3338	1892	1702	3203	2028	2036	3384	2013	2174	2144	1320	1589	2797	1489	1951	3096	2037	1293
79672	1806	1968	3128	2116	2372	3300	2096	2420	2399	1477	1429	2572	2216	1610	3132	2441	2051	2496
79673	806	661	1382	1092	916	1285	1405	1339	1175	910	801	1889	1239	1411	1513	1493	1072	1497
79674	122	77	202	146	52	143	86	214	124	74	78	245	161	111	65	169	93	144
79675	1610	659	1178	1869	744	1024	2034	835	1423	1660	682	1737	1371	815	902	1294	713	822
79676	1147	1088	1115	1070	1337	1244	1223	1077	962	927	775	915	1067	478	1319	926	1246	720
79677	995	1201	2339	1580	1551	2129	1690	1700	2286	1098	1107	1975	1573	1942	2006	1765	1538	1336
79679	0	14	24	0	48	1449	1	0	212	0	12	46	18	0	15	14	42	15
79680	1508	1695	2684	1752	2030	2010	1747	1735	1648	1177	1134	1830	2145	2584	2197	2196	1796	1702
79682	216	515	1326	302	803	1557	239	715	967	292	530	950	578	570	829	433	714	403
79683	2013	2118	1337	2055	1932	1107	2361	2549	1703	1632	1980	1619	2480	1817	1779	2454	2740	1274
79684	481	635	1075	567	604	1156	389	565	615	296	382	945	486	732	1062	586	639	760
79685	4699	2946	5359	4396	3889	4704	7019	3766	4320	4834	2490	4809	3954	4249	5792	4973	3911	3832
79686	71	388	132	59	369	154	93	179	139	52	73	80	112	550	198	102	378	125
79689	8	119	0	38	121	4	2	42	8	0	14	9	16	129	8	229	135	2
79690	333	472	651	408	566	851	200	641	413	101	378	699	503	461	675	491	689	541
79691	855	1114	1982	1072	1256	1633	769	1197	1333	528	992	1156	1215	1509	1578	1332	1371	992
79692	537	398	1245	603	464	993	752	560	628	404	371	1138	815	797	1054	794	584	744
79693	730	424	898	728	515	790	948	610	798	556	455	839	413	231	726	487	595	772
79694	590	714	782	1020	883	833	1203	919	869	937	806	866	1241	1307	1153	1155	987	666
79695	142	1354	380	256	1909	1048	176	1476	610	45	1279	172	730	1352	237	880	1217	98
79696	159	104	213	170	141	134	226	102	111	157	73	172	214	70	222	207	87	105
79697	1797	1371	2349	1733	1301	2153	1942	1103	1487	1496	695	1809	1363	1077	2007	1910	1474	1605
79698	55	20	553	56	32	223	127	59	126	101	36	337	50	58	383	107	27	322
79699	3584	2362	3983	4855	2466	3365	5338	3141	3717	3601	2288	5374	4189	5525	4613	5474	3256	4333
797	0	0	10	0	2	32	0	0	0	0	4	16	0	0	18	0	0	5
79701	2622	2982	3779	2516	3716	3231	3165	3451	3203	2171	2590	3054	3228	3064	3562	3776	3724	2547
79703	531	489	589	501	584	523	437	637	794	257	481	527	423	499	554	478	609	526
79705	130	756	275	235	902	462	171	425	200	73	209	119	456	1128	242	883	682	209
79706	44	47	92	41	59	96	62	34	54	47	56	55	38	6	86	58	49	75
79707	1296	926	1759	1717	1092	1508	1446	962	1345	1137	735	1730	1717	2689	1499	1980	1095	1347
79709	7344	9163	8586	8378	10947	10678	11630	10574	12563	7292	6050	8858	11199	10364	8205	13840	10381	5909
79710	1388	1794	1077	1801	2544	1311	1566	2862	1574	788	1779	793	2581	3393	1162	2880	2984	662
79711	2901	3544	6422	2879	4005	4790	2567	4040	3039	1599	2418	2899	4284	5551	5055	4379	4129	2337
79712	490	488	949	639	558	901	627	721	1016	476	417	872	599	727	933	626	702	877
79713	124	94	240	103	167	285	97	116	242	74	84	138	74	26	227	91	143	126
79714	946	1239	979	1125	1507	1091	758	1814	949	598	1357	852	1390	885	1047	1328	1619	742
79716	2530	687	1071	1133	554	972	869	256	557	702	177	556	634	193	1303	908	944	641
79717	2580	2105	1271	2750	2815	1712	3402	2507	2532	1955	2078	1810	2487	1163	1605	2611	2406	1422
79718	5990	4756	4803	7939	5419	4517	9822	6270	6917	5835	4357	6282	7621	8151	5116	9292	5572	4372
79719	1616	1298	2745	1989	1703	2617	1915	1851	1804	1165	1419	2143	1899	1863	2866	1990	1930	1690
79720	2518	1793	8315	2614	2297	5507	3783	2251	3640	2481	1508	5294	1944	1566	5548	2209	1831	3749
79722	12	21	39	31	34	12	6	39	10	0	10	54	23	85	39	44	34	115
79723	330	452	1756	460	470	1828	373	487	920	306	326	1191	530	780	1297	558	570	766
79724	5999	3951	7579	5924	4901	7087	8329	4764	6228	6055	3092	7524	4295	3149	7435	4481	4346	5080
79725	221	156	486	372	221	442	337	178	366	322	182	506	358	392	426	374	222	250
79726	3006	1993	3811	2882	2354	3729	4222	3007	3623	2855	2083	3693	2835	2245	3526	2644	2727	2481
79727	21	12	14472	11	15	8415	49	22	11727	47	25	3706	15	6	1857	8	17	955
79728	508	522	1080	562	781	1024	689	838	739	545	620	937	614	994	981	770	855	789
79729	409	551	514	387	475	872	338	344	347	220	234	447	374	371	423	399	545	536
79730	167	375	455	222	427	419	212	508	391	136	280	260	278	548	357	513	410	174
79731	971	1003	1845	1221	1419	1705	1530	1165	1270	895	817	1472	1227	1114	1480	1179	1076	1316
79733	511	479	332	506	523	535	540	493	393	330	318	248	725	512	410	789	575	130
79734	4948	2461	6307	3710	2474	5056	4480	2887	2852	2744	1960	4211	2691	1809	6228	3315	2813	3764
79735	3855	2824	3314	3404	3226	3586	4766	3737	3260	3402	2797	4052	3046	1840	3685	3109	3779	3274
79736	388	220	334	441	286	426	372	306	388	220	232	340	347	147	384	375	366	328
79738	1152	781	1414	1368	1064	1297	1600	891	1352	1077	532	1344	1445	1007	1705	1513	1029	1331
79739	534	170	450	616	109	572	633	168	420	499	153	723	251	196	576	472	194	632
79740	0	2	100	7	0	127	0	4	0	2	0	26	6	0	119	5	0	71
79741	156	85	155	164	146	159	202	120	140	107	115	138	180	49	180	130	142	129
79742	1	81	4	9	25	27	5	2	192	2	7	13	6	31	2	22	11	1
79744	526	313	512	449	328	570	767	442	413	429	394	675	499	314	692	576	408	550
79745	4656	2098	867	4997	1862	1296	6765	3445	2877	4208	2742	1781	4233	2731	1320	4898	2784	1276
79746	435	31	199	373	28	219	659	18	1072	481	11	441	229	12	129	214	8	151
