Geneid	SRR11357516
gene:ECOLIN_03105	295
gene:ECOLIN_03110	3676
gene:ECOLIN_03115	1479
gene:ECOLIN_03120	377
gene:ECOLIN_03125	6130
gene:ECOLIN_03130	1087
gene:ECOLIN_03135	271
gene:ECOLIN_03140	231
gene:ECOLIN_03145	691
gene:ECOLIN_03150	125
gene:ECOLIN_03155	859
gene:ECOLIN_03160	866
gene:ECOLIN_03165	1319
gene:ECOLIN_03170	1064
gene:ECOLIN_03175	624
gene:ECOLIN_03180	411
gene:ECOLIN_03185	564
gene:ECOLIN_03190	99
gene:ECOLIN_03195	170
gene:ECOLIN_03200	156
gene:ECOLIN_03205	72
gene:ECOLIN_03210	28
gene:ECOLIN_03215	6
gene:ECOLIN_03220	140
gene:ECOLIN_03225	12534
gene:ECOLIN_03235	6459
gene:ECOLIN_03240	8269
gene:ECOLIN_03245	87
gene:ECOLIN_03250	621
gene:ECOLIN_03255	26
gene:ECOLIN_03260	11
gene:ECOLIN_03265	2
gene:ECOLIN_03270	10
gene:ECOLIN_03275	2
gene:ECOLIN_03280	3
gene:ECOLIN_03285	75
gene:ECOLIN_03290	164
gene:ECOLIN_03295	34
gene:ECOLIN_03300	126
gene:ECOLIN_03305	335
gene:ECOLIN_03310	9478
gene:ECOLIN_03315	257
gene:ECOLIN_03320	368
gene:ECOLIN_03325	1205
gene:ECOLIN_03330	2179
gene:ECOLIN_03335	47
gene:ECOLIN_03340	632
gene:ECOLIN_03345	5455
gene:ECOLIN_03350	328
gene:ECOLIN_03355	463
gene:ECOLIN_03360	161
gene:ECOLIN_03365	114
gene:ECOLIN_03370	70
gene:ECOLIN_03375	140
gene:ECOLIN_03380	226
gene:ECOLIN_03385	337
gene:ECOLIN_03390	349
gene:ECOLIN_03395	567
gene:ECOLIN_03400	4242
gene:ECOLIN_03405	1259
gene:ECOLIN_03410	320
gene:ECOLIN_03415	639
gene:ECOLIN_03420	443
gene:ECOLIN_03425	1024
gene:ECOLIN_03430	11929
gene:ECOLIN_03435	79
gene:ECOLIN_03440	576
gene:ECOLIN_03445	4763
gene:ECOLIN_03450	3604
gene:ECOLIN_03455	7856
gene:ECOLIN_03460	614
gene:ECOLIN_03465	718
gene:ECOLIN_03470	20
gene:ECOLIN_03475	29
gene:ECOLIN_03480	20
gene:ECOLIN_03485	47
gene:ECOLIN_03490	57
gene:ECOLIN_03495	61
gene:ECOLIN_03500	103
gene:ECOLIN_03505	4526
gene:ECOLIN_03510	225
gene:ECOLIN_03515	357
gene:ECOLIN_03520	652
gene:ECOLIN_03525	392
gene:ECOLIN_03530	494
gene:ECOLIN_03535	119
gene:ECOLIN_03540	4
gene:ECOLIN_03545	19
gene:ECOLIN_03550	3
gene:ECOLIN_03555	24
gene:ECOLIN_03560	78
gene:ECOLIN_03565	24
gene:ECOLIN_03570	65
gene:ECOLIN_03575	77
gene:ECOLIN_03580	1136
gene:ECOLIN_03595	18
gene:ECOLIN_03600	21
gene:ECOLIN_03605	2887
gene:ECOLIN_03610	678
gene:ECOLIN_03615	40
gene:ECOLIN_03620	213
gene:ECOLIN_03625	785
gene:ECOLIN_03630	2336
gene:ECOLIN_03635	236
gene:ECOLIN_03640	82
gene:ECOLIN_03645	196
gene:ECOLIN_03650	355
gene:ECOLIN_03655	0
gene:ECOLIN_03660	0
gene:ECOLIN_03665	22
gene:ECOLIN_03670	13
gene:ECOLIN_03675	7216
gene:ECOLIN_03680	312
gene:ECOLIN_03685	256
gene:ECOLIN_03690	419
gene:ECOLIN_03695	595
gene:ECOLIN_03700	477
gene:ECOLIN_03705	686
gene:ECOLIN_03710	517
gene:ECOLIN_03715	221
gene:ECOLIN_03720	151
gene:ECOLIN_03725	56
gene:ECOLIN_03730	1456
gene:ECOLIN_03735	94
gene:ECOLIN_03740	21
gene:ECOLIN_03745	181
gene:ECOLIN_03750	167
gene:ECOLIN_03755	747
gene:ECOLIN_03760	822
gene:ECOLIN_03765	367
gene:ECOLIN_03770	406
gene:ECOLIN_03775	70
gene:ECOLIN_03780	3
gene:ECOLIN_03785	10911
gene:ECOLIN_03790	8558
gene:ECOLIN_03800	1165
gene:ECOLIN_03805	515
gene:ECOLIN_03810	574
gene:ECOLIN_03815	478
gene:ECOLIN_03820	2120
gene:ECOLIN_03825	1892
gene:ECOLIN_03830	2041
gene:ECOLIN_03840	130
gene:ECOLIN_03845	29
gene:ECOLIN_03850	64
gene:ECOLIN_03855	52
gene:ECOLIN_03860	11
gene:ECOLIN_03865	19
gene:ECOLIN_03870	6
gene:ECOLIN_03875	3065
gene:ECOLIN_03880	1809
gene:ECOLIN_03885	672
gene:ECOLIN_03890	1033
gene:ECOLIN_03895	3160
gene:ECOLIN_03900	20360
gene:ECOLIN_03905	608
gene:ECOLIN_03910	218
gene:ECOLIN_03915	133
gene:ECOLIN_03920	147
gene:ECOLIN_03925	328
gene:ECOLIN_03930	190
gene:ECOLIN_03935	323
gene:ECOLIN_03940	1077
